player_ID,careerWAR
aguiaju01,0.0
aguilch01,-0.87
aguilje01,2.9899999999999998
aguilmi01,0.0
aguilri01,1.21
aguilry01,-0.33
aguirha01,-3.15
ahearch01,-0.16
ahearpa01,0.0
ahmedni01,11.18
aikenwi01,7.920000000000001
aingeda01,-2.04
ainsmed01,6.4
ainswku01,-0.23
aitchra01,0.13
aitonge01,-0.01
akejo01,-0.32
akerfda01,-0.05
akerja01,-0.74
akersbi01,1.35
akersje01,0.04
akinke01,-0.02
akiyash01,-0.2799999999999999
alanirj01,0.049999999999999996
albagi01,0.0
albaljo01,0.0
albanjo01,0.0
alberan01,0.15
alberbu01,-0.07
albercy01,-0.06
albergu01,0.6299999999999999
alberha01,4.41
alberjo01,0.0
alberjo02,-0.06
alberma01,-0.26
albieoz01,24.13
albosed01,-0.13
albreed01,-0.02
albrial01,0.18
albrija01,0.03
albrith01,-0.16
albural01,0.0
alburvi01,-0.03
alcaljo01,0.0
alcalsa01,-0.13
alcanar01,-0.66
alcanis01,-0.37000000000000005
alcanke01,-0.07999999999999999
alcanra01,0.0
alcansa01,-0.5800000000000001
alcanse01,-0.07000000000000002
alcanvi01,0.0
alcarlu01,-1.66
alcocsc01,-0.63
aldegsa01,0.0
alderda01,-0.12000000000000001
aldremi01,8.74
aldresc01,-0.01
aldrico01,-0.43
aldrija01,-0.02
aldrivi01,0.6599999999999999
alenoch01,-0.7
alexabl01,1.69
alexabo01,-0.02
alexabu01,-0.27
alexach01,0.89
alexacj01,-0.43
alexada01,13.6
alexado01,0.25
alexaga01,0.6100000000000002
alexage01,0.0
alexahu01,-0.24
alexaja01,0.0
alexako01,1.55
alexama01,-0.99
alexama02,-2.2800000000000002
alexani01,-0.7000000000000001
alexape01,3.0999999999999996
alexasc02,-0.11000000000000001
alexasp01,-0.19
alexate01,-0.23
alexaty01,-0.03
alexawa01,0.9300000000000003
alexyaj01,0.0
alfarja01,-0.18
alfarjo01,2.2600000000000002
alfonan01,-0.029999999999999992
alfonan02,4.98
alfoned01,28.76
alfonel01,-0.020000000000000004
alforan01,-0.04999999999999998
alicelu01,11.95
allanan01,0.7999999999999998
allarbr01,0.0
allarko01,0.33
alldrca01,0.0
allenal01,-0.1
allenau01,-0.32999999999999996
allenbe01,9.290000000000001
allenbo01,11.57
allenbo02,-0.35
allenbo03,0.03
allenbo04,-0.15
allenbr01,-1.0
allenbu01,0.17
allench01,-1.67
allencl01,-0.1
allencl02,-0.17
allenco01,-0.01
allendi01,58.79
allendu01,0.06
allenet01,7.75
allenfr01,0.010000000000000009
allenga01,1.29
allengr01,0.7100000000000002
allenha01,0.16
allenha02,-3.4000000000000004
allenha03,0.5
allenhe01,0.08
allenho01,-0.17
allenho02,0.25
allenja01,-0.88
allenja02,-0.38
allenje01,-0.07999999999999988
allenjo01,0.0
allenjo02,-1.4300000000000002
allenki01,-0.07000000000000003
allenll01,0.12000000000000002
allenlo01,0.060000000000000005
allenlo02,0.0
allenlu01,-0.1
allenmy01,0.36
allenne01,-0.040000000000000036
allenne02,20.21
allenni01,-0.18999999999999984
allenni02,2.1100000000000003
allenpe01,-0.16
allenro01,-0.16
allenro02,-0.41000000000000003
allensl01,-0.5
allento01,-2.34
allento02,0.15
alleyge01,24.15
allgeni01,0.0
alliebo01,-0.21
alliega01,-1.2
allis02,-0.06
allisan01,-0.52
allisar01,0.24000000000000002
allisbi01,-0.12
allisbo01,34.1
allisda01,0.0
allisdo01,6.86
allisma01,-0.65
allismi01,-0.030000000000000027
allismo01,0.14
allrebe01,0.7899999999999999
almadme01,1.0099999999999998
almanar01,-0.08
almanca01,-0.07
almeira01,1.01
almonab01,0.98
almonbi01,4.63
almoned01,-0.04
almoner01,-0.99
almonhe01,-0.01
almonmi01,0.0
almonye01,-0.12
almonzo01,-0.81
almoral01,3.29
alomalu01,-0.2
alomaro01,67.01
alomasa01,10.530000000000001
alomasa02,13.71
alonspe01,23.29
alonsro01,-1.3
alonsyo01,8.58
aloufe01,42.32
alouje01,0.7999999999999996
alouma01,23.0
aloumo01,39.88
alperwh01,2.1300000000000003
alstode01,-2.19
alstoga01,-0.02
alstoto01,-0.22999999999999998
alstowa01,-0.03
altampo01,-0.009999999999999995
altavda01,0.0
altener01,-0.06
altenje01,-0.06
altheaa01,1.85
altizda01,7.609999999999999
altmage01,12.99
altobjo01,-0.93
altroni01,0.44999999999999996
altuvjo01,53.42
aluja01,-0.11
alusige01,1.54
alvarab01,-0.02
alvarar01,-0.38
alvarcl01,-0.06
alvarda01,0.0
alvarda02,0.09
alvared01,-0.27999999999999997
alvarel01,0.0
alvarfr01,3.6999999999999997
alvarga01,-1.43
alvarhe01,0.66
alvarjo01,0.09999999999999999
alvarjo02,0.12
alvarjo03,-0.02
alvarju01,0.0
alvarlu01,-3.14
alvarna01,0.22999999999999998
alvaror01,-0.37
alvaros01,-0.5
alvarpe01,4.94
alvarra01,-0.26
alvarrj01,0.0
alvarro01,-0.48
alvarta01,-0.12000000000000001
alvarto01,-0.14
alvarvi01,-0.03
alvarwi01,-0.18
alvaryo01,24.25
alvisma01,8.32
alvorbi01,-0.99
alyeabr01,1.5300000000000002
alzolad01,-0.28
amadoad01,-1.66
amalfjo01,1.7899999999999998
amarari01,5.09
amarial01,-0.42999999999999994
amaroru01,2.27
amaroru02,0.32999999999999985
amayaja01,-1.08
amayami01,3.35
amblewa01,-3.4299999999999997
ambrech01,0.0
ambrihe01,0.0
amburtr01,-0.05
amelued01,0.24
amesre01,-4.27
amesst01,0.0
amezaal01,3.15
amoledo01,-0.44
amorosa01,7.35
amorvi01,0.04
anckewa01,-0.12
ander07,0.0
anderal01,-0.11000000000000003
anderal02,-0.02
anderan01,-1.8499999999999999
anderbi01,-0.02
anderbi02,0.12
anderbi03,-0.87
anderbo01,-0.53
anderbo02,-0.73
anderbr01,34.98
anderbr02,-0.87
anderbr03,-0.2099999999999999
anderbr04,-0.18
anderbr05,-0.51
anderbr06,9.860000000000001
anderbu01,0.0
anderbu02,0.59
anderc02,-0.21
anderch01,-1.59
anderco01,-0.04
andercr01,-0.09000000000000001
anderda01,-0.55
anderda02,5.7
anderdr01,-0.12
anderdr02,-0.060000000000000005
anderdw01,-1.35
anderfa01,-0.03
anderfe01,-0.15999999999999998
anderfr01,-1.75
anderga01,25.69
anderge01,2.4800000000000004
andergo01,0.36
andergr01,0.0
anderha01,-0.22
anderha02,5.24
anderia01,-0.23
anderja01,0.0
anderji01,0.99
anderji02,0.16000000000000003
anderjo01,28.77
anderjo02,-0.04
anderjo03,0.3700000000000001
anderju01,0.0
anderke01,0.81
anderla01,0.0
anderla02,6.938893903907228e-18
anderla03,-0.34
anderle01,-0.12
anderma01,0.0
anderma02,7.1499999999999995
andermi01,4.32
andermi02,-0.02
anderni01,0.0
anderor01,-0.11
anderre01,0.32
anderri01,0.0
anderri02,-0.11
anderro01,-0.04
andersc01,-0.07
andersh01,-0.08
andersp01,-1.2
anderta01,-0.07
anderti01,15.209999999999999
anderty01,-0.47000000000000003
anderva01,0.48000000000000004
anderwa01,0.030000000000000013
anderwi01,-0.01
andinro01,1.9099999999999997
andrast01,0.0
andre04,0.05
andre05,0.11
andre06,0.0
andrecl01,-0.05
andrecl02,0.0
andrecu01,-0.28
andreed01,2.13
andreel01,0.0
andreer01,-0.43
andrefr01,-0.03
andrehu01,0.0
andreiv01,-0.89
andreja01,4.760000000000001
andreji01,-0.53
andrejo01,-0.09
andrejo02,0.03
andrejo03,-0.09999999999999999
andreki01,0.08
andremi01,10.940000000000001
andrena01,-0.56
andrero01,0.9299999999999999
andresh01,2.0100000000000002
andrest01,-1.09
andrewa01,0.45
andrima01,-0.11
andrubi01,-0.22000000000000003
andruel01,34.53
andrufr01,-0.09000000000000001
andruwi01,-0.08
andujjo01,-0.59
andujlu01,0.0
andujmi01,2.33
angelno01,-0.03
anglema01,-0.16
angleto01,-0.1
ankenpa01,-0.12000000000000001
ankieri01,5.4799999999999995
annade01,0.16
annisbi01,-0.9
ansonca01,94.44
anthoer01,-0.2000000000000001
anthoro01,3.14
antoldu01,0.0
antoljo01,0.08
antonbi01,-0.3
antonjo01,-1.45
antonjo02,0.65
antonma01,-0.25
antonte01,0.01
aokino01,10.49
aparilu01,55.86
apodabo01,0.12000000000000002
apontlu01,0.0
apostsh01,-0.47
appelma01,0.0
appieke01,-0.39
appleed01,-0.13
applefr01,0.02
applegi01,-0.12
applepe01,0.52
applere01,0.12
applilu01,77.17
aquinar01,2.08
aquingr01,-0.05
aquinja01,-0.03
aquinlu01,-0.22999999999999998
aragoan01,-0.75
aragoja01,0.0
arandjo01,4.21
arangpe01,0.56
aranovi01,0.0
araujel01,-0.01
araujpe01,0.0
