player_ID,careerWAR
anderro01,-0.15
andersc01,0.009999999999999981
andersh01,-2.09
anderta01,-0.38
anderty01,17.31
anderva01,-0.97
anderwa01,0.4
anderwi01,-0.68
andrast01,-0.12
andre06,-0.3
andrecl01,-0.64
andrecl02,-0.88
andreel01,-0.37
andrehu01,0.010000000000000009
andreiv01,19.08
andreja01,-1.16
andrejo01,-0.52
andrejo02,-0.03
andrena01,9.1
andrima01,0.8700000000000001
andrufr01,0.33
andujjo01,16.72
andujlu01,-0.3700000000000001
angelno01,0.5900000000000001
ankieri01,3.61
annade01,-0.07
ansonca01,-0.12000000000000001
antoldu01,-0.11
antonjo02,31.21
antonte01,3.26
aokino01,-0.1
apodabo01,5.499999999999999
apontlu01,4.36
appelma01,0.27
appieke01,54.9
appleed01,-0.85
applefr01,-0.65
applepe01,7.99
applere01,-0.26
aquingr01,-0.53
aquinja01,-0.22
aquinlu01,10.54
aranovi01,1.6400000000000001
araujel01,-0.45000000000000007
araujpe01,-0.59
arauzjo01,-0.01
archech01,13.709999999999999
archefr01,0.0
archeji02,2.51
arciafr01,-0.05
arciaor01,-0.09
ardizru01,-0.04
arellfr01,4.84
arencjp01,0.03
ariasal02,0.53
ariaslu01,-0.35
ariasru01,-0.14
arihako01,-1.5
arlicdo01,-0.54
arlinst01,0.3700000000000001
armasfe01,-0.35
armasto02,8.31
armbror01,0.57
armenro01,0.1
armoubu01,-0.03
armstho01,-0.04
armstja01,2.39
armstji01,-0.39
armstmi01,1.37
armstsh01,3.96
arnolja01,-1.51
arnolsc01,-0.08
arnolto01,-0.08
arnsbbr01,0.74
arntzor01,0.33
arochre01,1.3800000000000001
arojo01,-0.12000000000000001
arredjo01,2.54
arrieja01,21.130000000000003
arrigge01,2.0300000000000002
arrigsp01,0.33999999999999997
arrojro01,9.76
arroybr01,24.68
arroych01,-0.05
arroyfe01,4.99
arroylu01,3.3200000000000003
arroyru01,-0.15
arteahu01,0.01
arundha01,-2.57
asburor01,-0.46
ascanjo01,-0.19
asencmi01,2.12
ashbyaa01,1.35
ashbyan01,21.509999999999998
ashcrbr01,1.96
ashcrgr01,3.94
asheral01,-0.32
ashke01,-0.18999999999999995
assadja01,5.069999999999999
assenpa01,13.07
astacez01,-1.21
astacpe01,28.28
astinba01,-0.12
astudwi01,-0.009999999999999995
atchisc01,3.47
atchlju01,-0.03
atherke01,4.36
atilalu01,-0.58
atkinal01,0.16999999999999993
atkinbi01,0.84
atkinja01,0.08
atkinmi01,-0.3
atkinto01,-0.97
aucoide01,0.05
augenbr01,-0.95
augusco01,-0.16
augusdo01,1.75
augusje01,4.18
aukerel01,15.84
aumonph01,-0.75
ausanjo01,0.07
austde01,-0.32
austije01,-0.68
austiji02,2.11
austira01,-0.22
austiri01,0.31999999999999995
autryal01,0.05
averyst01,12.469999999999999
avilaal01,0.06999999999999999
avilalu01,4.42
avilalu02,0.38
avilani01,-0.3
